年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1989,LaNina,LaNina,Neutral,60,93,96,178,220,315,342,329,342,3.1,3.3,6.2,11.3,14.5,17,21.1,24.5,20.9,14.5,10.9,5,12.7,10.666666666666666,20.866666666666667,15.433333333333332,3.6,3.3666666666666667
1990,Neutral,Neutral,ElNino,57,93,98,173,219,329,335,335,344,0.8,4.3,6.2,10.4,16.1,20.1,22.2,25.9,22.1,16.2,11.5,7.2,13.6,10.9,22.73333333333333,16.599999999999998,3.3666666666666667,3.766666666666666
1991,ElNino,ElNino,ElNino,22,101,105,182,220,326,344,326,344,2.4,1.7,5.1,11.1,15.6,20.6,21.9,22.2,20.6,15.5,8.9,4.9,12.5,10.6,21.566666666666666,15,3.766666666666666,3.3333333333333335
1992,ElNino,ElNino,ElNino,31,96,105,188,235,315,330,315,342,2.7,2.4,5,10.1,13.3,17.3,22.5,23.4,19.9,14.7,9.7,5,12.2,9.466666666666667,21.066666666666666,14.766666666666666,3.3333333333333335,3.733333333333333
1993,ElNino,ElNino,Neutral,21,99,106,187,222,319,333,319,346,2.8,3.4,4.6,9.5,14.4,18.1,18.5,21.6,19.8,14.1,10.5,4.6,11.8,9.5,19.400000000000002,14.799999999999999,3.733333333333333,3.0666666666666664
1994,Neutral,Neutral,LaNina,59,101,105,185,223,325,338,319,344,1.8,2.8,4,11,15.5,18.6,24.2,26.6,22.2,16.6,9.6,4.4,13.1,10.166666666666666,23.133333333333336,16.133333333333333,3.0666666666666664,2.6333333333333333
1995,LaNina,LaNina,LaNina,68,101,107,170,219,320,333,314,333,1.1,2.4,4.7,11.3,15.6,17,23.7,25.4,20.3,16.4,8.8,3.9,12.6,10.533333333333333,22.03333333333333,15.166666666666666,2.6333333333333333,2.3333333333333335
1996,LaNina,LaNina,ElNino,73,107,114,183,228,322,340,322,334,1.3,1.8,4.3,8.5,13.9,18,22.5,22.9,20,15.1,8.9,5.4,11.9,8.9,21.133333333333333,14.666666666666666,2.3333333333333335,3.466666666666667
1997,ElNino,ElNino,LaNina,57,98,101,181,221,319,331,312,334,2.4,2.6,5.7,11.1,15,18.6,23.1,23.9,19.7,14.4,10.5,5.2,12.7,10.6,21.866666666666664,14.866666666666667,3.466666666666667,2.6999999999999997
1998,LaNina,LaNina,LaNina,25,98,101,175,212,334,337,328,348,0.5,2.4,6.1,11.6,16.5,17.6,21.6,23.1,21.9,16.8,9,5.2,12.7,11.4,20.76666666666667,15.9,2.6999999999999997,3.233333333333334
1999,LaNina,LaNina,LaNina,73,98,103,166,217,328,344,321,351,2.1,2.4,5.3,11,16.5,19.7,23.4,25.4,22.3,15.8,10.7,4.3,13.2,10.933333333333332,22.833333333333332,16.266666666666666,3.233333333333334,3.233333333333334
2000,LaNina,LaNina,Neutral,64,103,108,183,222,324,335,320,340,3.6,1.8,4.6,10,15.9,19.6,24.3,25.3,22,15.5,9.1,3.6,12.9,10.166666666666666,23.066666666666666,15.533333333333333,3.233333333333334,1.5666666666666667
2001,Neutral,Neutral,ElNino,78,100,103,181,223,321,330,321,339,0,1.1,4.9,11.6,15.4,19.3,24.7,21.8,20.1,15.3,9.4,2.7,12.2,10.633333333333333,21.933333333333334,14.933333333333335,1.5666666666666667,3.1666666666666665
