年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
2009,ElNino,ElNino,LaNina,8,80,92,153,250,334,340,330,340,6.8,7.8,10,15.7,20.1,22.5,26.3,26.6,23,19,13.5,9,16.7,15.266666666666666,25.133333333333336,18.5,8.133333333333335,7.5
2010,LaNina,LaNina,LaNina,19,81,91,161,278,330,336,336,345,7,6.5,9.1,12.4,19,23.6,28,29.6,25.1,18.9,13.5,9.9,16.9,13.5,27.066666666666666,19.166666666666668,7.5,7.333333333333333
2011,LaNina,LaNina,Neutral,10,87,96,161,259,334,346,335,349,5.1,7,8.1,14.5,18.5,22.8,27.3,27.5,25.1,19.5,14.9,7.5,16.5,13.700000000000001,25.866666666666664,19.833333333333332,7.333333333333333,5.900000000000001
2012,Neutral,Neutral,Neutral,41,90,96,156,264,331,340,333,356,4.8,5.4,8.8,14.5,19.6,21.4,26.4,29.1,26.2,19.4,12.7,7.3,16.3,14.300000000000002,25.633333333333336,19.433333333333334,5.900000000000001,6.333333333333333
2013,Neutral,Neutral,Neutral,34,75,81,131,249,328,333,332,349,5.5,6.2,12.1,15.2,19.8,22.9,27.3,29.2,25.2,19.8,13.5,8.3,17.1,15.699999999999998,26.46666666666667,19.5,6.333333333333333,6.833333333333333
2014,Neutral,Neutral,ElNino,19,84,89,151,252,329,342,329,352,6.3,5.9,10.4,15,20.3,23.4,26.8,27.7,23.2,19.1,14.2,6.7,16.6,15.233333333333334,25.96666666666667,18.833333333333332,6.833333333333333,6.066666666666666
2015,ElNino,ElNino,ElNino,26,82,88,146,266,334,345,338,346,5.8,5.7,10.3,14.5,21.1,22.1,26.2,26.7,22.6,18.4,13.9,9.3,16.4,15.300000000000002,25,18.3,6.066666666666666,7.533333333333334
2016,ElNino,ElNino,LaNina,10,80,90,146,270,325,335,334,357,6.1,7.2,10.1,15.4,20.2,22.4,25.4,27.1,24.4,18.7,11.4,8.9,16.4,15.233333333333334,24.96666666666667,18.166666666666664,7.533333333333334,7.2
2017,LaNina,LaNina,LaNina,10,80,92,158,254,321,340,333,342,5.8,6.9,8.5,14.7,20,22,27.3,26.4,22.8,16.8,11.9,6.6,15.8,14.4,25.23333333333333,17.166666666666668,7.2,5.566666666666667
2018,LaNina,LaNina,ElNino,19,76,83,150,249,323,339,330,341,4.7,5.4,11.5,17,19.8,22.4,28.3,28.1,22.9,19.1,14,8.3,16.8,16.099999999999998,26.26666666666667,18.666666666666668,5.566666666666667,7.033333333333334
2019,ElNino,ElNino,LaNina,21,80,86,162,248,333,347,331,347,5.6,7.2,10.6,13.6,20,21.8,24.1,28.4,25.1,19.4,13.1,8.5,16.5,14.733333333333334,24.76666666666667,19.2,7.033333333333334,7.966666666666666
2020,LaNina,LaNina,LaNina,27,73,81,159,257,330,348,331,348,7.1,8.3,10.7,12.8,19.5,23.2,24.3,29.1,24.2,17.5,14,7.7,16.5,14.333333333333334,25.53333333333333,18.566666666666666,7.966666666666666,7.2
2021,LaNina,LaNina,LaNina,18,73,81,159,257,332,344,331,342,5.4,8.5,12.8,15.1,19.6,22.7,25.9,27.4,22.3,18.2,13.7,7.9,16.6,15.833333333333334,25.333333333333332,18.066666666666666,7.2,6
2022,LaNina,LaNina,ElNino,32,79,86,161,258,323,340,330,337,4.9,5.2,10.9,15.3,18.8,23,27.4,27.5,24.4,17.2,14.5,7.5,16.4,15,25.96666666666667,18.7,6,6.833333333333333
2023,ElNino,ElNino,ElNino,21,73,81,155,245,335,346,333,347,5.7,7.3,12.9,16.3,19,23.2,28.7,29.2,26.7,18.9,14.4,9.4,17.6,16.066666666666666,27.03333333333333,19.999999999999996,6.833333333333333,8.166666666666666
2024,ElNino,ElNino,NA,9,88,94,154,245,337,343,337,343,7.1,8,9.6,17.1,20,23.1,28.7,29,26.6,20.6,13.7,8.1,17.6,15.566666666666668,26.933333333333334,20.3,8.166666666666666,8.1
