年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1987,ElNino,ElNino,LaNina,10,81,93,163,266,311,332,334,352,7.3,7.9,9.7,14.4,19,22.5,26.8,27.2,22.8,19.9,14.4,9,16.7,14.366666666666667,25.5,19.033333333333335,8.266666666666666,7.666666666666667
1988,LaNina,LaNina,LaNina,36,92,99,166,262,306,318,325,341,7.6,6.4,8.9,14.4,19.2,22.5,26.5,26.8,23.8,18.5,12.2,8.5,16.3,14.166666666666666,25.266666666666666,18.166666666666668,7.666666666666667,8.766666666666667
1989,LaNina,LaNina,Neutral,23,76,87,153,262,307,313,331,348,9.1,8.7,10.3,16.2,18.4,21.8,26.3,27.3,24.3,18.3,13.7,9.6,17,14.966666666666667,25.133333333333336,18.766666666666666,8.766666666666667,8.6
1990,Neutral,Neutral,ElNino,35,73,87,151,279,310,325,335,348,6,10.2,11.4,14.8,19.3,24.2,28.3,29.6,25.4,18.7,15.2,8.7,17.7,15.166666666666666,27.366666666666664,19.766666666666666,8.6,7.266666666666666
1991,ElNino,ElNino,ElNino,36,88,96,161,267,316,339,329,343,7,6.1,10.4,14.6,18.3,23.5,27.4,26.2,24.4,18.3,13.1,10,16.6,14.433333333333332,25.7,18.6,7.266666666666666,8.466666666666667
1992,ElNino,ElNino,ElNino,24,81,90,155,262,308,324,328,342,7.8,7.6,10.8,15.4,18.9,21.4,26.5,26.7,24.6,18.5,13.2,10,16.8,15.033333333333333,24.866666666666664,18.766666666666666,8.466666666666667,8.6
1993,ElNino,ElNino,Neutral,13,83,95,159,257,307,323,333,350,7.5,8.3,9.8,14.6,18.8,22.9,25.1,25.2,22.6,17.7,14.4,8.9,16.3,14.4,24.400000000000002,18.23333333333333,8.6,7.733333333333333
1994,Neutral,Neutral,LaNina,31,88,95,156,279,317,337,332,356,7.1,7.2,8.9,15.8,20.5,22.3,29.6,29.8,24.6,19.7,15.2,10.1,17.6,15.066666666666668,27.233333333333334,19.833333333333332,7.733333333333333,8.033333333333333
1995,LaNina,LaNina,LaNina,33,86,98,166,278,314,328,320,342,6.9,7.1,10.1,14.4,18.4,21.7,27.4,29.3,23.5,19.2,12.3,7.4,16.5,14.299999999999999,26.13333333333333,18.333333333333332,8.033333333333333,6.666666666666667
1996,LaNina,LaNina,ElNino,41,82,91,166,273,322,334,330,342,6.5,6.1,9.9,12.5,19.4,23.9,27.1,28.2,23.8,19,14.2,8.6,16.6,13.933333333333332,26.400000000000002,19,6.666666666666667,7.5
1997,ElNino,ElNino,LaNina,41,77,87,155,260,315,321,330,336,6.2,7.7,11.3,15.3,20.4,23.6,26.6,28,23.3,18.6,14.9,9.5,17.1,15.666666666666666,26.066666666666666,18.933333333333334,7.5,8.5
1998,LaNina,LaNina,LaNina,40,78,93,151,240,329,337,334,359,6.6,9.4,10.9,17.6,21.1,22.9,27.6,29.2,25.7,20.8,14.3,10.6,18.1,16.533333333333335,26.566666666666666,20.266666666666666,8.5,8.366666666666665
1999,LaNina,LaNina,LaNina,29,80,91,161,262,324,332,340,355,7.3,7.2,11.3,14.8,19.7,23.2,25.3,27.6,26.2,19.9,13.8,8.6,17.1,15.266666666666666,25.366666666666664,19.966666666666665,8.366666666666665,7.466666666666666
2000,LaNina,LaNina,Neutral,33,84,92,154,275,331,339,339,353,7.7,6.1,10.4,15.1,19.4,23,28.2,28.6,24.4,19.7,14.5,9.6,17.2,14.966666666666667,26.600000000000005,19.53333333333333,7.466666666666666,7.833333333333333
2001,Neutral,Neutral,ElNino,39,81,91,156,269,329,338,337,346,6.2,7.7,10.9,15.3,20.1,23.6,27.8,28.5,24,19.8,13.2,8.3,17.1,15.433333333333335,26.633333333333336,19,7.833333333333333,8.200000000000001
2002,ElNino,ElNino,ElNino,21,74,84,155,263,312,332,312,338,7.9,8.4,12.5,16.6,19.3,23.6,27.9,27.8,24.4,18.8,11.5,9.1,17.3,16.133333333333336,26.433333333333334,18.233333333333334,8.200000000000001,7.766666666666667
2003,ElNino,ElNino,Neutral,10,81,87,156,255,322,336,344,356,5.9,8.3,9.9,16.1,20,23.2,25.5,27.2,25.6,18.8,16.1,9.3,17.2,15.333333333333334,25.3,20.166666666666668,7.766666666666667,8.133333333333333
