年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1991,ElNino,ElNino,ElNino,90,102,107,182,224,307,322,325,339,0.1,0,3.9,11.3,16.2,21.4,22.7,23.2,20.7,14.4,6.8,2.9,12,10.466666666666667,22.433333333333334,13.966666666666667,1.7999999999999998,1.5
1992,ElNino,ElNino,ElNino,93,102,106,190,226,299,315,321,337,1.1,0.5,4,10.4,13.6,18.8,23.4,24.6,19.3,13.6,7.8,2.7,11.7,9.333333333333334,22.26666666666667,13.566666666666665,1.5,1.9333333333333336
1993,ElNino,ElNino,Neutral,91,106,110,189,224,305,318,321,338,1.1,2,3.7,8.6,14.8,19,20.5,21.9,19,12.3,8.6,2.4,11.2,9.033333333333333,20.466666666666665,13.299999999999999,1.9333333333333336,1.0999999999999999
1994,Neutral,Neutral,LaNina,96,105,108,184,238,312,321,334,344,0.2,0.7,2.5,10.7,16.3,19.9,25.8,27.1,21.6,15,7.7,2.1,12.4,9.833333333333334,24.26666666666667,14.766666666666667,1.0999999999999999,1.0333333333333334
1995,LaNina,LaNina,LaNina,99,107,111,187,227,313,329,331,344,0.8,0.2,3.6,10.4,16,18.2,23.7,25.4,18.9,15,6.7,2,11.6,10,22.433333333333334,13.533333333333333,1.0333333333333334,1
1996,LaNina,LaNina,ElNino,109,114,115,181,232,300,322,NA,NA,0.8,0.2,3.2,7.8,14.5,19.4,23.8,23.7,19,13.5,7.4,3,11.2,8.5,22.3,13.299999999999999,1,1.3333333333333333
1997,ElNino,ElNino,LaNina,89,103,109,189,230,308,322,309,334,0.5,0.5,4.5,10.3,15.9,20,24.1,24.5,19.1,12.8,8.6,3,12,10.233333333333334,22.866666666666664,13.5,1.3333333333333333,1.5666666666666664
1998,LaNina,LaNina,LaNina,78,101,103,179,212,319,326,347,352,1.1,0.6,4.7,13,17.6,19.3,23.8,23.6,22.1,15.6,7.5,3.4,12.5,11.766666666666666,22.233333333333334,15.066666666666668,1.5666666666666664,1.2
1999,LaNina,LaNina,LaNina,95,104,108,171,224,311,320,327,347,0.1,0.1,4.2,10.5,16.2,20,24.2,26.5,21.8,14.5,8.6,2.2,12.4,10.299999999999999,23.566666666666666,14.966666666666667,1.2,1.2333333333333334
2000,LaNina,LaNina,Neutral,100,109,114,185,232,313,325,323,344,1.5,0,2.8,9.2,16.5,20.6,25,26.2,21.6,13.8,7.3,1.7,12.2,9.5,23.933333333333334,14.233333333333334,1.2333333333333334,1.5
